Date,Open,High,Low,Close,Volume
1949-05-20,176.21,176.21,169.2,169.92
1949-05-27,171.85,176.3,170.43,176.3
1949-06-03,176.21,176.52,174.76,175.98
1949-06-10,174.92,174.92,167.86,167.86
1949-06-17,165.27,165.27,153.81,160.42
1949-06-24,155.45,155.76,152.99,153.35
1949-07-01,150.58,150.58,146.14,150
1949-07-08,149.14,149.14,140.03,140.03
1949-07-15,135.84,144.89,134.8,144.89
1949-07-22,147.23,148.55,145.67,146.5
1949-07-29,144.88,145.51,144.59,144.86
1949-08-05,109.91,176.52,109.91,156.26
1949-08-12,156.46,164.73,156.46,162.49
1949-08-19,159,160.04,158.17,160.04
1949-08-26,160.51,176.27,160.51,176.27
1949-09-02,173.22,176.89,171.57,171.57
1949-09-09,172.21,172.41,168.86,170.7
1949-09-16,172.23,172.23,162.54,164.95
1949-09-23,167.07,167.07,162.22,163.98
1949-09-30,162.49,163.29,160.41,162.95
1949-10-07,160.72,160.72,153,158.7
1949-10-14,154.16,154.16,146.97,149.62
1949-10-21,144.44,144.44,137.92,137.92
1949-10-28,135.94,144.45,131.09,144.45
1949-11-04,141.54,141.54,137.03,137.03
1949-11-11,135.97,140.67,132.94,140.67
1949-11-18,140.02,140.02,134.55,134.55
1949-11-25,131.3,131.3,125.97,125.97
1949-12-02,122.01,176.52,109.91,121
1949-12-09,120.92,120.92,111.99,112.01
1949-12-16,110.32,110.96,98.5,110.67
1949-12-23,108.46,109.35,104.14,109.35
1949-12-30,110.24,110.24,108.6,109.91
1950-01-06,108.56,108.56,102.64,102.95
1950-01-13,102.78,102.78,95.04,96.89
1950-01-20,96.2,98.9,95.27,98.25
1950-01-27,97.1,97.12,94.82,94.82
1950-02-03,93.14,97.45,92.54,97.45
1950-02-10,101.71,107.25,101.71,107.16
1950-02-17,112.94,113.4,109.6,111.21
1950-02-24,109.73,109.73,106.62,107.09
1950-03-03,108.27,108.27,105.52,105.52
1950-03-10,104.43,104.43,101.23,102.16
1950-03-17,102.61,102.61,101.07,101.4
1950-03-24,100.61,100.61,99.02,99.97
1950-03-31,99.9,114.55,97.61,114.55
1950-04-07,94.86,94.86,91.76,91.76
1950-04-14,90.97,95.52,88.7,93.9
1950-04-21,93.04,93.4,92.39,92.39
1950-04-28,92.59,99.31,92.59,99.31
1950-05-05,103.78,103.78,101.38,101.38
1950-05-12,100.26,100.26,97.23,97.31
1950-05-19,96.05,98.47,95.16,98.47
1950-05-26,96.87,96.87,94.21,94.34
1950-06-02,93.61,94.32,93.61,94.32
1950-06-09,94.68,94.68,92.26,92.26
1950-06-16,91.47,91.47,89.08,89.72
1950-06-23,88.9,91.94,88.9,91.94
1950-06-30,92.75,92.75,86.17,86.19
1950-07-07,85.65,85.84,85.25,85.65
1950-07-14,86.04,103.82,86.04,103.82
1950-07-21,109.34,109.34,101.58,101.9
1950-07-28,103.16,103.16,99.87,99.87
1950-08-04,97.59,114.55,86.17,101.26
1950-08-11,103.16,105.31,103.04,105.31
